Gene	Rho	P_val
HOXB13	-1.517e-01	7.048e-02
HRAS	-1.542e-02	8.550e-01
HSD3B1	3.115e-02	7.119e-01
HSP90AA1	1.625e-04	9.985e-01
HSPH1	-1.743e-01	3.730e-02
IDH1	-8.761e-02	2.981e-01
IDH2	-1.976e-02	8.148e-01
IDO1	-6.802e-02	4.195e-01
IFIT1	1.643e-01	4.989e-02
IFIT2	-1.868e-01	2.552e-02
IFIT3	-6.709e-02	4.260e-01
IFNAR1	3.140e-02	7.097e-01
IFNAR2	7.288e-02	3.870e-01
IFNGR1	-1.454e-01	8.322e-02
IFNGR2	-3.160e-02	7.079e-01
IFNL3	-4.872e-02	5.634e-01
IGF1	7.921e-02	3.470e-01
IGF1R	-5.392e-02	5.224e-01
IGF2	-1.208e-01	1.506e-01
IKBKE	-6.020e-02	4.751e-01
IKZF1	8.896e-02	2.907e-01
IKZF3	-8.058e-02	3.387e-01
IL10RA	-1.089e-01	1.956e-01
IL15	nan	nan
IL2RA	8.403e-02	3.184e-01
IL6R	-5.275e-02	5.315e-01
IL7R	-1.104e-01	1.893e-01
ING1	-2.011e-01	1.601e-02
INHBA	2.732e-01	9.617e-04
INPP4A	-4.091e-02	6.276e-01
INPP4B	-1.005e-01	2.324e-01
INPPL1	-1.981e-01	1.771e-02
INSR	1.120e-01	1.828e-01
IRF1	-2.932e-02	7.281e-01
IRF2	-8.042e-03	9.241e-01
IRF4	-2.192e-02	7.950e-01
IRS1	6.126e-02	4.673e-01
IRS2	-1.269e-01	1.311e-01
ITPKB	1.646e-01	4.945e-02
JAK1	-1.673e-01	4.584e-02
JAK2	3.100e-02	7.132e-01
JAK3	6.592e-02	4.341e-01
JUN	-7.208e-02	3.923e-01
KAT6A	-4.930e-02	5.588e-01
KDM5A	-2.363e-01	4.494e-03
KDM5C	-8.872e-02	2.920e-01
KDM6A	-1.491e-01	7.556e-02
KDM6B	1.567e-01	6.171e-02
KDR	-1.501e-01	7.365e-02
KEAP1	2.403e-01	3.836e-03
KEL	-3.235e-02	7.013e-01
KIF1B	-1.553e-01	6.399e-02
KIT	-5.541e-02	5.110e-01
KLF4	-1.169e-01	1.645e-01
KLHL6	5.074e-02	5.473e-01
KLLN	4.269e-02	6.127e-01
KMT2A	6.281e-02	4.561e-01
KMT2B	1.119e-01	1.834e-01
KMT2C	-1.925e-01	2.129e-02
KMT2D	-3.725e-02	6.587e-01
KRAS	-2.518e-01	2.420e-03
LAG3	1.523e-01	6.939e-02
LATS1	2.009e-02	8.118e-01
LATS2	-3.128e-02	7.108e-01
LDLR	4.519e-03	9.573e-01
LEF1	-3.892e-02	6.444e-01
LMNA	-1.175e-01	1.623e-01
LMO1	6.856e-02	4.159e-01
LRP1B	9.230e-02	2.729e-01
LYN	-1.108e-01	1.875e-01
LZTR1	-4.678e-02	5.790e-01
MAD2L2	1.471e-01	7.948e-02
MAF	-3.684e-02	6.622e-01
MAFB	-8.511e-02	3.122e-01
MAGI2	1.492e-01	7.532e-02
MALT1	-2.169e-01	9.259e-03
MAP2K1	-1.770e-01	3.444e-02
MAP2K2	6.929e-02	4.109e-01
MAP2K4	1.925e-02	8.195e-01
MAP3K1	-6.919e-02	4.116e-01
MAP3K7	-1.311e-02	8.765e-01
MAPK1	-7.393e-02	3.802e-01
MAX	-2.557e-01	2.058e-03
MC1R	1.231e-03	9.884e-01
MCL1	9.778e-02	2.453e-01
MDC1	-2.021e-01	1.548e-02
MDM2	-1.437e-01	8.687e-02
MDM4	1.118e-02	8.946e-01
MECOM	6.144e-02	4.661e-01
MED1	2.017e-01	1.569e-02
MED12	-4.369e-02	6.044e-01
MEF2B	4.102e-02	6.266e-01
MEN1	5.471e-02	5.163e-01
MET	-2.225e-01	7.572e-03
MGA	-3.524e-02	6.761e-01
MGMT	-2.582e-03	9.756e-01
MIB1	2.374e-02	7.783e-01
MITF	-1.970e-02	8.153e-01
MKI67	4.852e-02	5.650e-01
MLH1	-5.447e-02	5.182e-01
MLH3	1.868e-01	2.547e-02
MLLT3	-4.733e-02	5.746e-01
MPL	-1.808e-01	3.070e-02
MRE11	6.501e-02	4.404e-01
MS4A1	4.849e-02	5.653e-01
MSH2	-1.330e-01	1.133e-01
MSH3	-7.323e-02	3.847e-01
MSH6	4.159e-02	6.219e-01
MST1	-2.005e-02	8.121e-01
MST1R	-1.705e-01	4.173e-02
MTA1	1.461e-01	8.164e-02
MTAP	-1.679e-02	8.423e-01
MTHFR	7.519e-02	3.721e-01
MTOR	-3.459e-04	9.967e-01
MTRR	2.356e-01	4.609e-03
MUTYH	-8.563e-02	3.092e-01
MYB	1.682e-01	4.466e-02
MYC	7.416e-02	3.787e-01
MYCL	1.291e-01	1.243e-01
MYCN	1.267e-01	1.316e-01
MYD88	-7.280e-02	3.876e-01
MYH11	-2.241e-02	7.905e-01
MYOD1	-3.369e-03	9.681e-01
NBN	1.418e-03	9.866e-01
NCOA3	4.635e-02	5.825e-01
NCOR1	-2.157e-02	7.982e-01
NCOR2	2.237e-01	7.230e-03
NEGR1	4.054e-02	6.307e-01
NF1	5.108e-02	5.446e-01
NF2	1.660e-01	4.758e-02
NFE2L2	8.464e-02	3.149e-01
NFKBIA	1.996e-01	1.686e-02
NHP2	-9.384e-02	2.649e-01
NKX2-1	3.133e-01	1.391e-04
NKX3-1	2.006e-01	1.629e-02
NOTCH1	-4.271e-02	6.125e-01
NOTCH2	-1.604e-01	5.568e-02
NOTCH3	-6.438e-02	4.449e-01
NOTCH4	-2.091e-01	1.220e-02
NPM1	2.110e-01	1.141e-02
NQO1	4.855e-02	5.647e-01
NRAS	-2.085e-01	1.244e-02
NRG1	1.316e-02	8.761e-01
NRIP1	1.571e-03	9.851e-01
NSD1	-6.872e-02	4.148e-01
NSD2	4.879e-02	5.628e-01
NT5C2	-7.447e-02	3.767e-01
NTHL1	7.115e-02	3.984e-01
NTRK1	-1.596e-02	8.499e-01
NTRK2	-1.217e-01	1.476e-01
NTRK3	-3.821e-02	6.505e-01
NUDT15	5.074e-02	5.473e-01
NUP93	-1.076e-01	2.008e-01
NUP98	2.669e-02	7.516e-01
P2RY8	-1.926e-01	2.119e-02
PA2G4	5.616e-02	5.053e-01
PAK1	1.701e-01	4.224e-02
PAK3	-4.219e-02	6.169e-01
PAK5	-3.620e-02	6.677e-01
PALB2	6.000e-02	4.765e-01
PALLD	-8.879e-02	2.916e-01
PARK2	-9.717e-02	2.483e-01
PARP1	1.497e-01	7.436e-02
PAX5	-1.489e-02	8.599e-01
PAX7	-2.209e-01	8.034e-03
PAX8	-2.258e-01	6.703e-03
PBRM1	-1.518e-01	7.038e-02
PCBP1	-6.963e-02	4.086e-01
PDCD1	1.476e-01	7.855e-02
PDCD1LG2	1.021e-01	2.251e-01
PDGFRA	-1.793e-01	3.211e-02
PDGFRB	1.326e-01	1.143e-01
PDK1	-6.010e-03	9.432e-01
PDPK1	-1.293e-01	1.237e-01
PELP1	5.381e-02	5.233e-01
PGR	-8.632e-02	3.053e-01
PHB2	1.349e-01	1.081e-01
PHF6	-7.071e-02	4.013e-01
PHOX2B	-4.137e-02	6.237e-01
PIAS4	-6.267e-02	4.571e-01
PIK3C2B	1.750e-02	8.357e-01
PIK3C2G	1.259e-01	1.340e-01
PIK3C3	1.023e-01	2.241e-01
PIK3CA	1.309e-02	8.767e-01
PIK3CB	1.829e-02	8.284e-01
PIK3CD	-1.592e-01	5.753e-02
PIK3CG	-2.499e-01	2.612e-03
PIK3R1	1.297e-01	1.226e-01
PIK3R2	2.931e-02	7.282e-01
PIK3R3	-1.109e-01	1.875e-01
PIM1	-2.138e-01	1.035e-02
PLCG2	3.142e-02	7.095e-01
PLK2	2.657e-02	7.528e-01
PML	3.631e-02	6.668e-01
PMS1	-5.849e-02	4.878e-01
PMS2	-2.249e-01	6.925e-03
PNRC1	2.413e-02	7.748e-01
POLD1	-7.005e-02	4.058e-01
POLE	-3.919e-02	6.421e-01
POLH	-2.023e-01	1.540e-02
POT1	2.557e-01	2.053e-03
POU2F2	-2.935e-01	3.750e-04
PPP1CA	3.344e-01	4.479e-05
PPP1CB	1.712e-01	4.087e-02
PPP1CC	-9.797e-02	2.444e-01
PPP1R15A	6.352e-02	4.511e-01
PPP2CA	6.302e-02	4.546e-01
PPP2CB	-5.918e-02	4.826e-01
PPP2R1A	-2.951e-02	7.264e-01
PPP2R1B	-9.725e-02	2.479e-01
PPP2R2A	2.508e-01	2.515e-03
PPP6C	9.518e-02	2.582e-01
PRAME	-1.172e-02	8.895e-01
PRCC	-4.547e-02	5.897e-01
PRDM1	1.031e-01	2.206e-01
PREX2	8.803e-02	2.958e-01
PRF1	8.525e-02	3.114e-01
PRKAR1A	3.355e-02	6.908e-01
PRKCI	-5.431e-02	5.194e-01
PRKCZ	-1.974e-01	1.812e-02
PRKDC	-2.243e-01	7.083e-03
PRPF40B	-1.037e-02	9.021e-01
PRSS1	3.027e-01	2.380e-04
PRSS2	3.033e-01	2.317e-04
PRSS8	4.197e-02	6.187e-01
PTCH1	-7.801e-02	3.544e-01
PTCH2	6.388e-03	9.396e-01
PTEN	8.684e-02	3.024e-01
PTK2	-1.348e-01	1.086e-01
PTPN11	1.634e-02	8.464e-01
PTPN13	7.799e-02	3.545e-01
PTPN22	2.787e-01	7.492e-04
PTPRD	-4.785e-03	9.548e-01
QKI	-2.484e-01	2.775e-03
RAB35	-1.590e-01	5.782e-02
RAC1	-2.560e-01	2.031e-03
RAD21	8.026e-02	3.406e-01
RAD50	2.254e-03	9.787e-01
RAD51	-2.741e-02	7.452e-01
RAD51B	-2.499e-01	2.609e-03
RAD51C	-1.473e-01	7.918e-02
RAD51D	4.450e-02	5.977e-01
RAD52	2.022e-01	1.547e-02
RAD54L	-3.848e-02	6.482e-01
RAF1	-5.042e-02	5.498e-01
RANBP2	-6.694e-02	4.270e-01
RARA	-2.445e-01	3.256e-03
RASA1	-3.502e-02	6.780e-01
RB1	-1.173e-01	1.628e-01
RBL1	-9.436e-02	2.623e-01
RBL2	-7.212e-02	3.920e-01
RBM10	1.921e-01	2.154e-02
RECQL4	1.071e-01	2.028e-01
REL	1.676e-01	4.547e-02
RET	3.687e-02	6.620e-01
RHOA	-7.808e-03	9.263e-01
RHPN2	1.059e-01	2.079e-01
RICTOR	-2.160e-01	9.571e-03
RINT1	-2.180e-01	8.918e-03
RIT1	5.627e-02	5.044e-01
RNF139	-1.109e-01	1.872e-01
RNF43	1.599e-01	5.642e-02
ROS1	-5.810e-02	4.906e-01
RPL5	1.805e-01	3.099e-02
RPS15	-4.066e-03	9.616e-01
RPS6KA4	6.778e-02	4.212e-01
RPS6KB1	5.000e-02	5.531e-01
RPS6KB2	3.178e-01	1.097e-04
RPTOR	-8.263e-02	3.265e-01
RSF1	-1.516e-01	7.078e-02
RUNX1	-1.094e-01	1.933e-01
RUNX1T1	-2.292e-02	7.858e-01
RXRA	-1.782e-01	3.321e-02
SCG5	-1.265e-01	1.323e-01
SDHA	-2.179e-01	8.933e-03
SDHAF2	-2.487e-02	7.681e-01
SDHB	6.834e-02	4.174e-01
SDHC	-5.827e-02	4.894e-01
SDHD	8.420e-02	3.174e-01
SEC23B	-6.601e-02	4.335e-01
SEMA3C	2.368e-01	4.405e-03
SETBP1	2.092e-01	1.217e-02
SETD2	-1.377e-02	8.704e-01
SF1	1.872e-01	2.514e-02
SF3B1	-7.192e-02	3.934e-01
SGK1	9.201e-02	2.744e-01
SH2B3	-9.824e-02	2.431e-01
SH2D1A	5.157e-02	5.407e-01
SHQ1	5.333e-02	5.270e-01
SKP1	-2.741e-02	7.452e-01
SLC26A3	-2.482e-01	2.795e-03
SLC47A2	-3.581e-02	6.711e-01
SLIT2	-1.579e-01	5.957e-02
SLX4	-5.705e-02	4.986e-01
SMAD2	1.117e-01	1.843e-01
SMAD3	2.279e-02	7.870e-01
SMAD4	-1.165e-01	1.660e-01
SMARCA1	5.083e-03	9.520e-01
SMARCA4	1.442e-01	8.583e-02
SMARCB1	8.162e-02	3.325e-01
SMARCE1	2.634e-01	1.479e-03
SMC1A	-1.822e-01	2.944e-02
SMC3	-6.047e-02	4.731e-01
SMO	-2.823e-01	6.367e-04
SNCAIP	-1.486e-01	7.661e-02
SOCS1	-1.538e-01	6.661e-02
SOD2	-1.607e-01	5.526e-02
SOX10	4.255e-02	6.138e-01
SOX17	-1.129e-01	1.794e-01
SOX2	1.720e-01	3.997e-02
SOX9	6.236e-02	4.593e-01
SPEN	8.215e-02	3.293e-01
SPINK1	-1.739e-01	3.774e-02
SPOP	-1.735e-01	3.822e-02
SPRED1	-9.966e-02	2.363e-01
SPTA1	6.041e-02	4.735e-01
SQSTM1	1.392e-01	9.735e-02
SRC	1.691e-01	4.355e-02
SRSF2	2.034e-02	8.095e-01
STAG1	-5.665e-02	5.015e-01
STAG2	-1.069e-01	2.039e-01
STAT3	-2.643e-01	1.423e-03
STAT4	-6.347e-02	4.514e-01
STAT5A	-7.517e-02	3.722e-01
STAT5B	-1.949e-01	1.965e-02
STAT6	1.165e-01	1.659e-01
STK11	2.304e-01	5.632e-03
SUFU	5.257e-02	5.329e-01
SUZ12	1.388e-01	9.826e-02
SYK	4.778e-03	9.548e-01
TAF1	-1.489e-01	7.596e-02
TANC1	-1.727e-01	3.920e-02
TAP1	1.377e-01	1.009e-01
TAP2	1.457e-01	8.254e-02
TBC1D12	8.274e-03	9.219e-01
TBL1XR1	-4.782e-02	5.706e-01
TBX3	7.077e-02	4.010e-01
TCF3	-2.028e-02	8.100e-01
TCF7L2	-3.305e-02	6.951e-01
TCL1A	6.594e-02	4.340e-01
TERT	-2.135e-01	1.046e-02
TET1	-6.783e-02	4.208e-01
TET2	7.765e-02	3.566e-01
TFDP1	1.127e-01	1.802e-01
TFF1	1.644e-01	4.978e-02
TGFBR1	-1.003e-01	2.335e-01
TGFBR2	5.465e-02	5.168e-01
TIGIT	-1.452e-01	8.354e-02
TLR4	2.007e-01	1.624e-02
TMEM127	1.892e-01	2.366e-02
TMEM173	-1.428e-01	8.884e-02
TMPRSS2	-1.094e-01	1.932e-01
TNF	3.121e-01	1.482e-04
TNFAIP3	-1.860e-01	2.615e-02
TNFRSF14	-2.623e-02	7.558e-01
TNFRSF17	1.679e-01	4.509e-02
TNFRSF9	1.466e-01	8.054e-02
TOP1	-8.356e-02	3.211e-01
TOP2A	1.879e-01	2.461e-02
TP53	-1.093e-01	1.938e-01
TP63	-7.924e-02	3.468e-01
TPM1	1.334e-01	1.122e-01
TPMT	-1.361e-01	1.051e-01
TPRX1	-2.358e-01	4.586e-03
TRAF2	2.749e-02	7.445e-01
TRAF3	2.190e-01	8.591e-03
TRAF7	4.467e-02	5.963e-01
TSC1	-8.350e-02	3.214e-01
TSC2	-1.014e-01	2.281e-01
TSHR	-5.859e-02	4.870e-01
TUSC3	-1.344e-01	1.096e-01
TYMS	1.320e-01	1.159e-01
U2AF1	5.390e-02	5.226e-01
UBE2T	5.896e-02	4.842e-01
UMPS	-7.120e-02	3.981e-01
UPF1	-3.408e-02	6.861e-01
VEGFA	-1.179e-01	1.608e-01
VHL	-4.715e-02	5.760e-01
VSIR	3.581e-02	6.711e-01
WEE1	-2.033e-02	8.096e-01
WISP3	9.349e-02	2.667e-01
WNT7A	1.987e-02	8.138e-01
WRN	1.223e-01	1.456e-01
WT1	2.118e-01	1.111e-02
XPA	2.980e-02	7.239e-01
XPC	-9.537e-02	2.572e-01
XPO1	9.212e-02	2.738e-01
XRCC1	-1.364e-03	9.871e-01
XRCC2	3.128e-01	1.428e-04
XRCC3	-1.164e-01	1.664e-01
YAP1	-6.967e-02	4.083e-01
YEATS4	1.141e-01	1.749e-01
ZBTB2	1.571e-01	6.103e-02
ZFHX3	-7.818e-02	3.533e-01
ZNF217	9.645e-02	2.518e-01
ZNF471	2.651e-02	7.533e-01
ZNF620	-1.826e-01	2.904e-02
ZNF703	-2.709e-02	7.481e-01
ZNF750	3.303e-02	6.953e-01
ZNRF3	2.741e-01	9.235e-04
ZRSR2	1.201e-01	1.531e-01
ABCB1	-8.802e-02	2.841e-01
ABCC3	4.951e-02	5.474e-01
ABL1	2.284e-02	7.815e-01
ABL2	-8.528e-03	9.175e-01
ACTA2	6.774e-03	9.344e-01
ACVR1B	-7.187e-02	3.821e-01
ADGRA2	6.946e-02	3.983e-01
AJUBA	1.515e-01	6.428e-02
AKT1	7.808e-02	3.423e-01
AKT2	-7.038e-02	3.921e-01
AKT3	1.003e-01	2.218e-01
ALK	-6.054e-02	4.618e-01
ALOX12B	1.236e-01	1.317e-01
AMER1	9.533e-02	2.459e-01
ANKRD11	-1.321e-01	1.071e-01
APC	-1.643e-01	4.457e-02
APOB	-9.827e-02	2.315e-01
AR	-2.194e-01	6.989e-03
ARAF	1.786e-01	2.873e-02
ARFRP1	-2.475e-01	2.265e-03
ARHGAP26	-1.366e-01	9.555e-02
ARHGAP35	-1.990e-01	1.464e-02
ARID1A	-1.324e-03	9.872e-01
ARID1B	2.960e-02	7.192e-01
ARID2	-1.484e-03	9.856e-01
ARID5B	3.574e-02	6.641e-01
ASNS	2.567e-01	1.522e-03
ASXL1	-1.266e-01	1.226e-01
ASXL2	7.411e-02	3.674e-01
ATIC	7.551e-02	3.584e-01
ATM	-5.593e-02	4.966e-01
ATP7B	1.062e-02	8.974e-01
ATR	-2.017e-02	8.065e-01
ATRX	-1.886e-01	2.080e-02
AURKA	1.496e-01	6.767e-02
AURKB	7.526e-02	3.600e-01
AXIN1	8.468e-02	3.029e-01
AXIN2	2.301e-02	7.799e-01
AXL	5.137e-02	5.324e-01
B2M	-1.192e-01	1.461e-01
BAP1	5.634e-02	4.935e-01
BARD1	-5.897e-02	4.735e-01
BCAR1	-5.317e-02	5.181e-01
BCL10	9.067e-02	2.698e-01
BCL11B	2.761e-02	7.373e-01
BCL2	1.278e-01	1.191e-01
BCL2L1	-2.492e-01	2.103e-03
BCL2L11	6.554e-03	9.366e-01
BCL2L12	-3.699e-04	9.964e-01
BCL2L2	-2.316e-02	7.785e-01
BCL6	-1.857e-01	2.290e-02
BCL7A	1.773e-02	8.295e-01
BCLAF1	-8.006e-02	3.301e-01
BCOR	-2.585e-01	1.401e-03
BCORL1	6.300e-02	4.438e-01
BCR	7.037e-02	3.922e-01
BIRC3	2.651e-01	1.043e-03
BLM	2.215e-03	9.785e-01
BMPR1A	-5.115e-02	5.342e-01
BRAF	1.498e-01	6.731e-02
BRCA1	-1.407e-01	8.586e-02
BRCA2	-5.158e-02	5.308e-01
BRD4	-1.115e-01	1.744e-01
BRIP1	-2.479e-04	9.976e-01
BTG1	1.299e-01	1.131e-01
BTK	-1.563e-01	5.608e-02
BUB1B	3.686e-02	6.543e-01
C11orf65	1.308e-01	1.107e-01
C3orf70	-1.909e-01	1.927e-02
C8orf34	1.435e-01	7.970e-02
CADM2	2.309e-02	7.791e-01
CALR	-1.245e-01	1.289e-01
CARD11	-2.021e-01	1.311e-02
CASP8	5.000e-02	5.434e-01
CASR	-7.781e-02	3.439e-01
CBFB	-4.933e-02	5.488e-01
CBL	5.452e-02	5.075e-01
CBLB	-8.856e-02	2.812e-01
CBLC	-4.581e-02	5.778e-01
CBR3	4.098e-02	6.186e-01
CCDC6	-1.107e-01	1.775e-01
CCND1	2.671e-01	9.541e-04
CCND2	1.091e-01	1.836e-01
CCND3	1.843e-01	2.393e-02
CCNE1	1.493e-02	8.561e-01
CCNE2	-1.014e-01	2.171e-01
CD19	-1.663e-01	4.202e-02
CD22	3.077e-02	7.086e-01
CD274	9.315e-02	2.569e-01
CD276	-8.290e-04	9.920e-01
CD40	1.601e-01	5.036e-02
CD70	1.333e-03	9.871e-01
CD79A	-7.359e-02	3.708e-01
CD79B	5.742e-02	4.852e-01
CDC25A	-2.007e-03	9.806e-01
CDC73	-8.741e-02	2.875e-01
CDH1	8.372e-02	3.084e-01
CDH2	-4.193e-02	6.104e-01
CDK12	2.973e-02	7.180e-01
CDK4	-4.257e-02	6.050e-01
CDK5	2.243e-01	5.795e-03
CDK6	1.910e-01	1.924e-02
CDK8	-2.950e-02	7.201e-01
CDKN1A	1.302e-01	1.122e-01
CDKN1B	9.599e-02	2.426e-01
CDKN1C	-4.586e-02	5.773e-01
CDKN2A	-2.629e-01	1.155e-03
CDKN2B	-1.542e-01	5.953e-02
CDKN2C	7.332e-03	9.290e-01
CEBPA	1.468e-01	7.295e-02
CEP57	-5.660e-02	4.915e-01
CFTR	1.951e-01	1.676e-02
CHD2	9.350e-02	2.551e-01
CHD4	1.964e-02	8.114e-01
CHEK1	-7.744e-02	3.462e-01
CHEK2	1.872e-01	2.180e-02
CIC	1.074e-01	1.908e-01
CIITA	-2.265e-01	5.326e-03
CKS1B	1.384e-01	9.116e-02
CREBBP	-1.868e-01	2.210e-02
CRKL	-3.904e-02	6.353e-01
CRLF2	-1.142e-01	1.642e-01
CSF1R	7.073e-02	3.898e-01
CSF3R	-4.226e-03	9.591e-01
CTC1	1.733e-02	8.333e-01
CTCF	-5.418e-03	9.475e-01
CTLA4	7.114e-02	3.870e-01
CTNNA1	-8.292e-02	3.131e-01
CTNNB1	-1.712e-01	3.614e-02
CTRC	-9.897e-04	9.904e-01
CUL3	-1.341e-01	1.018e-01
CUX1	1.127e-01	1.696e-01
CXCR4	1.278e-01	1.192e-01
CYLD	7.345e-02	3.717e-01
CYP1B1	-4.074e-02	6.206e-01
CYP2D6	-3.834e-02	6.414e-01
CYP3A5	-2.658e-01	1.012e-03
DAXX	-3.790e-02	6.452e-01
DDB2	-1.331e-01	1.046e-01
DDR2	-8.618e-02	2.943e-01
DDX3X	-2.181e-01	7.341e-03
DICER1	2.550e-02	7.568e-01
DIS3	-3.015e-02	7.142e-01
DIS3L2	-1.865e-02	8.208e-01
DKC1	-1.519e-01	6.352e-02
DMD	-1.471e-01	7.250e-02
DNM2	7.313e-02	3.738e-01
DNMT1	2.144e-02	7.945e-01
DNMT3A	1.062e-01	1.960e-01
DNMT3B	2.784e-01	5.619e-04
DOT1L	5.883e-02	4.746e-01
DPYD	3.919e-02	6.340e-01
DYNC2H1	7.614e-02	3.544e-01
E2F1	-2.670e-01	9.557e-04
E2F2	1.911e-02	8.164e-01
E2F3	-1.035e-01	2.074e-01
E2F4	-1.107e-01	1.776e-01
E2F5	8.602e-03	9.168e-01
E2F6	-1.419e-02	8.632e-01
EBF1	2.544e-01	1.677e-03
ECT2L	6.505e-02	4.290e-01
EED	-1.698e-01	3.781e-02
EGF	1.129e-01	1.690e-01
EGFL7	7.119e-02	3.866e-01
EGFR	7.360e-02	3.707e-01
EGLN1	1.394e-01	8.895e-02
ELF3	-7.096e-02	3.882e-01
ELOC	4.895e-02	5.520e-01
EMSY	2.062e-01	1.134e-02
ENG	-2.985e-02	7.169e-01
EP300	3.667e-02	6.559e-01
EPCAM	-9.918e-02	2.272e-01
EPHA2	-4.943e-02	5.480e-01
EPHA3	1.265e-01	1.228e-01
EPHA5	1.340e-01	1.021e-01
EPHA7	-7.264e-02	3.770e-01
EPHB1	-4.078e-02	6.203e-01
EPHB2	1.634e-01	4.566e-02
EPOR	1.342e-02	8.705e-01
ERBB2	6.559e-02	4.252e-01
ERBB3	-9.466e-02	2.492e-01
ERBB4	2.983e-02	7.171e-01
ERCC1	6.873e-02	4.033e-01
ERCC2	1.475e-01	7.174e-02
ERCC3	-1.009e-01	2.191e-01
ERCC4	-2.553e-02	7.564e-01
ERCC5	1.169e-01	1.544e-01
ERCC6	-5.622e-02	4.944e-01
ERG	-6.867e-02	4.037e-01
ERRFI1	-8.706e-02	2.895e-01
ESR1	-6.515e-02	4.283e-01
ESR2	-2.668e-01	9.655e-04
ETS1	-4.657e-02	5.714e-01
ETS2	6.434e-04	9.938e-01
ETV1	1.147e-01	1.620e-01
ETV4	-2.516e-03	9.756e-01
ETV5	2.104e-01	9.767e-03
ETV6	6.531e-02	4.272e-01
EWSR1	7.374e-02	3.698e-01
EXT2	-9.847e-02	2.306e-01
EZH2	2.397e-01	3.132e-03
FAM46C	9.262e-02	2.596e-01
FANCA	7.273e-02	3.765e-01
FANCB	1.900e-01	1.987e-02
FANCC	2.938e-02	7.212e-01
FANCD2	-2.039e-01	1.231e-02
FANCE	1.464e-01	7.389e-02
FANCF	-7.114e-02	3.870e-01
FANCG	-8.938e-02	2.767e-01
FANCI	1.179e-01	1.509e-01
FANCL	9.939e-02	2.262e-01
FANCM	7.216e-02	3.802e-01
FAS	-5.005e-02	5.430e-01
FAT1	-9.815e-02	2.321e-01
FBXO11	-6.903e-02	4.013e-01
FBXW7	2.313e-03	9.776e-01
FCGR2A	-9.693e-02	2.380e-01
FCGR3A	-1.012e-01	2.181e-01
FDPS	6.275e-02	4.456e-01
FGF1	1.554e-01	5.754e-02
FGF10	8.807e-02	2.838e-01
FGF14	1.282e-01	1.180e-01
FGF19	-2.539e-01	1.714e-03
FGF2	-2.267e-02	7.831e-01
FGF23	1.008e-01	2.198e-01
FGF3	-2.488e-01	2.139e-03
FGF4	-3.054e-01	1.442e-04
FGF5	-4.698e-02	5.681e-01
FGF6	-1.099e-01	1.808e-01
FGF7	1.565e-01	5.580e-02
FGF8	1.031e-01	2.092e-01
FGF9	6.846e-02	4.052e-01
FGFR1	1.055e-01	1.987e-01
FGFR2	1.347e-01	1.003e-01
FGFR3	-6.732e-02	4.131e-01
FGFR4	-1.930e-01	1.798e-02
FH	-5.642e-03	9.454e-01
FHIT	7.857e-03	9.240e-01
FLCN	5.781e-02	4.823e-01
FLG	-1.465e-03	9.858e-01
FLT1	-6.538e-02	4.267e-01
FLT3	7.153e-02	3.844e-01
FLT4	8.503e-02	3.008e-01
FNTB	-1.846e-01	2.372e-02
FOXA1	-2.199e-01	6.846e-03
FOXL2	1.548e-01	5.856e-02
FOXO1	-1.258e-01	1.250e-01
FOXO3	1.314e-02	8.732e-01
FOXP1	-4.854e-02	5.552e-01
FOXQ1	-1.858e-01	2.282e-02
FRS2	9.145e-02	2.657e-01
FUBP1	-3.385e-02	6.809e-01
FUS	-1.566e-01	5.561e-02
FYN	3.291e-02	6.893e-01
G6PD	1.929e-02	8.148e-01
GABRA6	-1.698e-01	3.777e-02
GALNT12	4.730e-03	9.542e-01
GATA1	2.080e-01	1.065e-02
GATA2	-1.794e-02	8.275e-01
GATA3	1.839e-02	8.232e-01
GATA4	-1.532e-01	6.123e-02
GATA6	-1.293e-02	8.752e-01
GEN1	4.749e-02	5.639e-01
GID4	-1.150e-02	8.889e-01
GLI1	-1.578e-02	8.480e-01
GLI2	1.609e-01	4.920e-02
GLI3	-8.824e-02	2.829e-01
GNA11	5.369e-03	9.480e-01
GNA13	8.995e-02	2.737e-01
GNAQ	-7.473e-02	3.634e-01
GNAS	-5.696e-02	4.887e-01
GPC3	1.172e-01	1.531e-01
GPER1	2.376e-01	3.413e-03
GPS2	-1.554e-02	8.503e-01
GREM1	7.913e-02	3.358e-01
GRIN2A	-1.782e-01	2.911e-02
GRM3	-2.899e-01	3.200e-04
GSK3B	2.917e-02	7.231e-01
GSTP1	2.526e-01	1.815e-03
H3F3A	-4.825e-02	5.577e-01
H3F3C	-4.454e-02	5.884e-01
HAS3	1.251e-01	1.273e-01
HAVCR2	1.671e-01	4.097e-02
HDAC1	3.877e-02	6.376e-01
HDAC2	-1.682e-03	9.837e-01
HDAC3	1.455e-01	7.574e-02
HDAC4	-8.163e-02	3.207e-01
HDAC5	1.490e-03	9.856e-01
HGF	-1.107e-01	1.773e-01
HIF1A	1.547e-01	5.875e-02
HIST1H1C	6.993e-02	3.952e-01
HIST1H1E	-5.369e-03	9.480e-01
HIST1H2BD	1.145e-01	1.631e-01
HIST1H3F	nan	nan
HIST1H4E	5.279e-02	5.212e-01
HIST3H3	-6.212e-02	4.502e-01
HLA-A	1.426e-01	8.170e-02
